Name,Subtitle,AM Service Time,PM Service Time,Street,City,State,Postcode,Phone,Email,Website,Minister/Pastor,URL,Presbytery,pcharge_status,Latitude,Longitude,Attempt,Lat_adj,Lon_adj
Cronulla,Unknown,9.30,5.30,11 Croydon St,Cronulla,New South Wales,2230,Unknown,Unknown,http://www.cronullapresbyterian.com,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/cronulla-community?category_id=48,Presbytery of Sydney South,Full (Sanctioned) Charge,-34.04953,151.15221,0,-34.0547778,151.1514006
"Crookwell, St Andrew's",Unknown,Unknown,Thursday. 7.30pm,Colyer St,Crookwell,New South Wales,2583,Unknown,Unknown,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/crookwell-st-andrew-s?category_id=48,Presbytery of Canberra,Home Mission Charge,-34.45956,149.47205,0,-34.4586724,149.473175
Delungra,Unknown,8.45,Unknown,Inverell St,Delungra,New South Wales,2403,Unknown,Unknown,Unknown,Peter Barber,https://preskey.org.au/index.php/new-south-wales-act/item/delungra?category_id=48,Presbytery of North Inland NSW,Preaching Centre,-29.65347,150.82871,0,-29.6536647,150.8290472
Drummoyne,Unknown,9.00 (trad) 10.30 (contemporay),5pm (contemporary),Corner Lyons Road and College Street,Drummoyne,New South Wales,2047,Unknown,Unknown,http://www.drummoyne.org.au,Alexander (Sandy) McMillan,https://preskey.org.au/index.php/new-south-wales-act/item/drummoyne?category_id=48,Presbytery of Sydney Inner West,Full (Sanctioned) Charge,-33.85189,151.15326,0,-33.8520678,151.153689
Dubbo,Unknown,"8.30, 10.30",6.00,61 Douglas Mawson Rd,Dubbo,New South Wales,2830,Unknown,Unknown,http://dubbo.church,Wayne Connor,https://preskey.org.au/index.php/new-south-wales-act/item/dubbo?category_id=48,Presbytery of Central West,Full (Sanctioned) Charge,-32.25013,148.64728,0,-32.2478964,148.6026502
Dunedoo,Unknown,Unknown,Unknown,58 Tucklan St,Dunedoo,New South Wales,2844,Unknown,Unknown,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/dunedoo?category_id=48,unknown,Home Mission Charge,-32.02034,149.39416,0,-32.0198815,149.3955937
"Dungog, St Andrew's",Unknown,9.00,Unknown,Dowling St,Dungog,New South Wales,2420,Unknown,Unknown,http://www.dungogpc.org.au,Allan Welch,https://preskey.org.au/index.php/new-south-wales-act/item/dungog-st-andrew-s?category_id=48,Presbytery of the Hunter,Home Mission Charge,-32.40446,151.75705,0,-32.3977888,151.7591634
East Maitland (St Stephens),Unknown,9.30,Unknown,64 George St,East Maitland,New South Wales,2323,Unknown,Unknown,Unknown,Michael Bosshard,https://preskey.org.au/index.php/new-south-wales-act/item/east-maitland-st-stephens?category_id=48,Presbytery of the Hunter,Full (Sanctioned) Charge,-32.74865,151.59244,0,-32.7575206,151.5854642
Engadine,Unknown,10.30,Unknown,80 Anzac Ave,Engadine,New South Wales,2233,Unknown,Unknown,Unknown,Luke Yoo,https://preskey.org.au/index.php/new-south-wales-act/item/engadine?category_id=48,Presbytery of Sydney South,Full (Sanctioned) Charge,-34.06071,151.0086,0,-34.0625544,151.0166229
Epping,Unknown,9.00 & 10.30,4.30 & 6.30,9 Bridge St,Epping,New South Wales,2121,Unknown,Unknown,http://www.eppingpresbyterian.org.au,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/epping?category_id=48,Presbytery of Sydney North,Full (Sanctioned) Charge,-33.77393,151.08133,0,-33.7739313,151.0813332
Evans Head,Unknown,9.30,Unknown,63 Woodburn Street,Evans Head,New South Wales,2473,Unknown,Unknown,https://www.evansheadpc.org,Jesse Barnwell,https://preskey.org.au/index.php/new-south-wales-act/item/evans-head?category_id=48,Presbytery of the Northern Rivers,Full (Sanctioned) Charge,-29.11542,153.42833,0,-29.1178896,153.4307329
